topology,algorithm,algorithm_config_name,calls,load,seed,blocking_rate,expected_security_exposure,total_security_cost,accepted,blocked,accepted_secure,blocked_secure
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,7.0,35,0.58,0.6875,18.666666666666668,42,58,21,46
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,7.0,35,0.52,0.4375,14.9,48,52,20,47
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,7.0,9,0.47,2.9375,14.0,53,47,32,41
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,7.0,9,0.49,0.75,16.838709677419356,51,49,31,42
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,7.0,9,0.47,2.8125,14.1875,53,47,32,41
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,7.0,65,0.52,2.875,16.846153846153847,48,52,26,39
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,7.0,65,0.58,0.625,16.933333333333334,42,58,15,50
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,7.0,65,0.53,3.25,18.37037037037037,47,53,27,38
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,7.0,26,0.5,1.375,15.52,50,50,25,42
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,7.0,26,0.52,0.625,24.5,48,52,20,47
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,7.0,26,0.5,0.875,16.24,50,50,25,42
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,7.0,34,0.58,1.625,16.210526315789473,42,58,19,45
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,7.0,34,0.51,0.625,19.61904761904762,49,51,21,43
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,7.0,34,0.5,1.8125,16.695652173913043,50,50,23,41
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,7.0,73,0.49,1.625,17.846153846153847,51,49,26,41
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,7.0,73,0.55,0.625,18.63157894736842,45,55,19,48
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,7.0,73,0.52,1.375,14.16,48,52,25,42
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,7.0,45,0.4,3.1875,14.222222222222221,60,40,36,35
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,7.0,45,0.51,0.625,21.142857142857142,49,51,28,43
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,7.0,45,0.4,3.125,14.432432432432432,60,40,37,34
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,7.0,90,0.4,2.6875,13.647058823529411,60,40,34,32
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,7.0,90,0.49,0.8125,17.0,51,49,22,44
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,7.0,90,0.39,2.5,14.571428571428571,61,39,35,31
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,7.0,62,0.43,2.125,13.866666666666667,57,43,30,37
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,7.0,62,0.52,2.1875,16.0,48,52,24,43
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,7.0,62,0.42,2.1875,14.193548387096774,58,42,31,36
